turnoff pc, poweroff
i demand to siesta pc, systemctl suspend
i demand to siesta laptop, systemctl suspend
i demand to siesta computer, systemctl suspend
i demand to siesta my laptop, systemctl suspend
i demand to siesta machine, systemctl suspend
i demand to siesta my machine, systemctl suspend
i demand to siesta system, systemctl suspend
i demand to siesta the system, systemctl suspend
i demand to siesta kernel, systemctl suspend
i demand to snooze pc, systemctl suspend
i demand to snooze laptop, systemctl suspend
i demand to snooze computer, systemctl suspend
i demand to snooze my laptop, systemctl suspend
i demand to snooze machine, systemctl suspend
i demand to snooze my machine, systemctl suspend
i demand to snooze system, systemctl suspend
i demand to snooze the system, systemctl suspend
i demand to snooze kernel, systemctl suspend
i long to suspend pc, systemctl suspend
i long to suspend laptop, systemctl suspend
i long to suspend computer, systemctl suspend
i long to suspend my laptop, systemctl suspend
i long to suspend machine, systemctl suspend
i long to suspend my machine, systemctl suspend
i long to suspend system, systemctl suspend
i long to suspend the system, systemctl suspend
i long to suspend kernel, systemctl suspend
i long to sleep pc, systemctl suspend
i long to sleep laptop, systemctl suspend
i long to sleep computer, systemctl suspend
i long to sleep my laptop, systemctl suspend
i long to sleep machine, systemctl suspend
i long to sleep my machine, systemctl suspend
i long to sleep system, systemctl suspend
i long to sleep the system, systemctl suspend
i long to sleep kernel, systemctl suspend
i long to bedtime pc, systemctl suspend
i long to bedtime laptop, systemctl suspend
i long to bedtime computer, systemctl suspend
i long to bedtime my laptop, systemctl suspend
i long to bedtime machine, systemctl suspend
i long to bedtime my machine, systemctl suspend
i long to bedtime system, systemctl suspend
i long to bedtime the system, systemctl suspend
i long to bedtime kernel, systemctl suspend
i long to nap pc, systemctl suspend
i long to nap laptop, systemctl suspend
i long to nap computer, systemctl suspend
i long to nap my laptop, systemctl suspend
i long to nap machine, systemctl suspend
i long to nap my machine, systemctl suspend
i long to nap system, systemctl suspend
i long to nap the system, systemctl suspend
i long to nap kernel, systemctl suspend
i long to siesta pc, systemctl suspend
i long to siesta laptop, systemctl suspend
i long to siesta computer, systemctl suspend
i long to siesta my laptop, systemctl suspend
i long to siesta machine, systemctl suspend
i long to siesta my machine, systemctl suspend
i long to siesta system, systemctl suspend
i long to siesta the system, systemctl suspend
i long to siesta kernel, systemctl suspend
i long to snooze pc, systemctl suspend
i long to snooze laptop, systemctl suspend
i long to snooze computer, systemctl suspend
i long to snooze my laptop, systemctl suspend
i long to snooze machine, systemctl suspend
i long to snooze my machine, systemctl suspend
i long to snooze system, systemctl suspend
i long to snooze the system, systemctl suspend
i long to snooze kernel, systemctl suspend
volumeup volume, amixer -D pulse sset Master 50%+
volumeup speaker, amixer -D pulse sset Master 50%+
volumeup sound, amixer -D pulse sset Master 50%+
volumeup tone, amixer -D pulse sset Master 50%+
volume up volume, amixer -D pulse sset Master 50%+
volume up speaker, amixer -D pulse sset Master 50%+
volume up sound, amixer -D pulse sset Master 50%+
volume up tone, amixer -D pulse sset Master 50%+
increase volume, amixer -D pulse sset Master 50%+
increase speaker, amixer -D pulse sset Master 50%+
increase sound, amixer -D pulse sset Master 50%+
increase tone, amixer -D pulse sset Master 50%+
boost volume, amixer -D pulse sset Master 50%+
boost speaker, amixer -D pulse sset Master 50%+
boost sound, amixer -D pulse sset Master 50%+
boost tone, amixer -D pulse sset Master 50%+
inflate volume, amixer -D pulse sset Master 50%+
inflate speaker, amixer -D pulse sset Master 50%+
inflate sound, amixer -D pulse sset Master 50%+
inflate tone, amixer -D pulse sset Master 50%+
escalate volume, amixer -D pulse sset Master 50%+
escalate speaker, amixer -D pulse sset Master 50%+
escalate sound, amixer -D pulse sset Master 50%+
escalate tone, amixer -D pulse sset Master 50%+
raise volume, amixer -D pulse sset Master 50%+
raise speaker, amixer -D pulse sset Master 50%+
raise sound, amixer -D pulse sset Master 50%+
raise tone, amixer -D pulse sset Master 50%+
rise volume, amixer -D pulse sset Master 50%+
rise speaker, amixer -D pulse sset Master 50%+
rise sound, amixer -D pulse sset Master 50%+
rise tone, amixer -D pulse sset Master 50%+
double volume, amixer -D pulse sset Master 50%+
double speaker, amixer -D pulse sset Master 50%+
double sound, amixer -D pulse sset Master 50%+
double tone, amixer -D pulse sset Master 50%+
maximize volume, amixer -D pulse sset Master 50%+
maximize speaker, amixer -D pulse sset Master 50%+
maximize sound, amixer -D pulse sset Master 50%+
maximize tone, amixer -D pulse sset Master 50%+
pulse volume, amixer -D pulse sset Master 50%+
pulse speaker, amixer -D pulse sset Master 50%+
pulse sound, amixer -D pulse sset Master 50%+
pulse tone, amixer -D pulse sset Master 50%+
i want to volumeup volume, amixer -D pulse sset Master 50%+
i want to volumeup speaker, amixer -D pulse sset Master 50%+
i want to volumeup sound, amixer -D pulse sset Master 50%+
i want to volumeup tone, amixer -D pulse sset Master 50%+
i want to volume up volume, amixer -D pulse sset Master 50%+
i want to volume up speaker, amixer -D pulse sset Master 50%+
i want to volume up sound, amixer -D pulse sset Master 50%+
i want to volume up tone, amixer -D pulse sset Master 50%+
i want to increase volume, amixer -D pulse sset Master 50%+
i want to increase speaker, amixer -D pulse sset Master 50%+
i want to increase sound, amixer -D pulse sset Master 50%+
i want to increase tone, amixer -D pulse sset Master 50%+
i want to boost volume, amixer -D pulse sset Master 50%+
i want to boost speaker, amixer -D pulse sset Master 50%+
i want to boost sound, amixer -D pulse sset Master 50%+
i want to boost tone, amixer -D pulse sset Master 50%+
i want to inflate volume, amixer -D pulse sset Master 50%+
i want to inflate speaker, amixer -D pulse sset Master 50%+
i want to inflate sound, amixer -D pulse sset Master 50%+
i want to inflate tone, amixer -D pulse sset Master 50%+
i want to escalate volume, amixer -D pulse sset Master 50%+
i want to escalate speaker, amixer -D pulse sset Master 50%+
i want to escalate sound, amixer -D pulse sset Master 50%+
i want to escalate tone, amixer -D pulse sset Master 50%+
i want to raise volume, amixer -D pulse sset Master 50%+
i want to raise speaker, amixer -D pulse sset Master 50%+
i want to raise sound, amixer -D pulse sset Master 50%+
i want to raise tone, amixer -D pulse sset Master 50%+
i want to rise volume, amixer -D pulse sset Master 50%+
i want to rise speaker, amixer -D pulse sset Master 50%+
i want to rise sound, amixer -D pulse sset Master 50%+
i want to rise tone, amixer -D pulse sset Master 50%+
i want to double volume, amixer -D pulse sset Master 50%+
i want to double speaker, amixer -D pulse sset Master 50%+
i want to double sound, amixer -D pulse sset Master 50%+
i want to double tone, amixer -D pulse sset Master 50%+
i want to maximize volume, amixer -D pulse sset Master 50%+
i want to maximize speaker, amixer -D pulse sset Master 50%+
i want to maximize sound, amixer -D pulse sset Master 50%+
i want to maximize tone, amixer -D pulse sset Master 50%+
i want to pulse volume, amixer -D pulse sset Master 50%+
i want to pulse speaker, amixer -D pulse sset Master 50%+
i want to pulse sound, amixer -D pulse sset Master 50%+
i want to pulse tone, amixer -D pulse sset Master 50%+
i need to volumeup volume, amixer -D pulse sset Master 50%+
i need to volumeup speaker, amixer -D pulse sset Master 50%+
i need to volumeup sound, amixer -D pulse sset Master 50%+
i need to volumeup tone, amixer -D pulse sset Master 50%+
i need to volume up volume, amixer -D pulse sset Master 50%+
i need to volume up speaker, amixer -D pulse sset Master 50%+
i need to volume up sound, amixer -D pulse sset Master 50%+
i need to volume up tone, amixer -D pulse sset Master 50%+
i need to increase volume, amixer -D pulse sset Master 50%+
i need to increase speaker, amixer -D pulse sset Master 50%+
i need to increase sound, amixer -D pulse sset Master 50%+
i need to increase tone, amixer -D pulse sset Master 50%+
i need to boost volume, amixer -D pulse sset Master 50%+
i need to boost speaker, amixer -D pulse sset Master 50%+
i need to boost sound, amixer -D pulse sset Master 50%+
i need to boost tone, amixer -D pulse sset Master 50%+
i need to inflate volume, amixer -D pulse sset Master 50%+
i need to inflate speaker, amixer -D pulse sset Master 50%+
i need to inflate sound, amixer -D pulse sset Master 50%+
i need to inflate tone, amixer -D pulse sset Master 50%+
i need to escalate volume, amixer -D pulse sset Master 50%+
i need to escalate speaker, amixer -D pulse sset Master 50%+
i need to escalate sound, amixer -D pulse sset Master 50%+
i need to escalate tone, amixer -D pulse sset Master 50%+
i need to raise volume, amixer -D pulse sset Master 50%+
i need to raise speaker, amixer -D pulse sset Master 50%+
i need to raise sound, amixer -D pulse sset Master 50%+
i need to raise tone, amixer -D pulse sset Master 50%+
i need to rise volume, amixer -D pulse sset Master 50%+
i need to rise speaker, amixer -D pulse sset Master 50%+
i need to rise sound, amixer -D pulse sset Master 50%+
i need to rise tone, amixer -D pulse sset Master 50%+
i need to double volume, amixer -D pulse sset Master 50%+
i need to double speaker, amixer -D pulse sset Master 50%+
i need to double sound, amixer -D pulse sset Master 50%+
i need to double tone, amixer -D pulse sset Master 50%+
i need to maximize volume, amixer -D pulse sset Master 50%+
i need to maximize speaker, amixer -D pulse sset Master 50%+
i need to maximize sound, amixer -D pulse sset Master 50%+
i need to maximize tone, amixer -D pulse sset Master 50%+
i need to pulse volume, amixer -D pulse sset Master 50%+
i need to pulse speaker, amixer -D pulse sset Master 50%+
i need to pulse sound, amixer -D pulse sset Master 50%+
i need to pulse tone, amixer -D pulse sset Master 50%+
i wish to volumeup volume, amixer -D pulse sset Master 50%+
i wish to volumeup speaker, amixer -D pulse sset Master 50%+
i wish to volumeup sound, amixer -D pulse sset Master 50%+
i wish to volumeup tone, amixer -D pulse sset Master 50%+
i wish to volume up volume, amixer -D pulse sset Master 50%+
i wish to volume up speaker, amixer -D pulse sset Master 50%+
i wish to volume up sound, amixer -D pulse sset Master 50%+
i wish to volume up tone, amixer -D pulse sset Master 50%+
i wish to increase volume, amixer -D pulse sset Master 50%+
i wish to increase speaker, amixer -D pulse sset Master 50%+
i wish to increase sound, amixer -D pulse sset Master 50%+
i wish to increase tone, amixer -D pulse sset Master 50%+
i wish to boost volume, amixer -D pulse sset Master 50%+
i wish to boost speaker, amixer -D pulse sset Master 50%+
i wish to boost sound, amixer -D pulse sset Master 50%+
i wish to boost tone, amixer -D pulse sset Master 50%+
i wish to inflate volume, amixer -D pulse sset Master 50%+
i wish to inflate speaker, amixer -D pulse sset Master 50%+
i wish to inflate sound, amixer -D pulse sset Master 50%+
i wish to inflate tone, amixer -D pulse sset Master 50%+
i wish to escalate volume, amixer -D pulse sset Master 50%+
i wish to escalate speaker, amixer -D pulse sset Master 50%+
i wish to escalate sound, amixer -D pulse sset Master 50%+
i wish to escalate tone, amixer -D pulse sset Master 50%+
i wish to raise volume, amixer -D pulse sset Master 50%+
i wish to raise speaker, amixer -D pulse sset Master 50%+
i wish to raise sound, amixer -D pulse sset Master 50%+
i wish to raise tone, amixer -D pulse sset Master 50%+
i wish to rise volume, amixer -D pulse sset Master 50%+
i wish to rise speaker, amixer -D pulse sset Master 50%+
i wish to rise sound, amixer -D pulse sset Master 50%+
i wish to rise tone, amixer -D pulse sset Master 50%+
i wish to double volume, amixer -D pulse sset Master 50%+
i wish to double speaker, amixer -D pulse sset Master 50%+
i wish to double sound, amixer -D pulse sset Master 50%+
i wish to double tone, amixer -D pulse sset Master 50%+
i wish to maximize volume, amixer -D pulse sset Master 50%+
i wish to maximize speaker, amixer -D pulse sset Master 50%+
i wish to maximize sound, amixer -D pulse sset Master 50%+
i wish to maximize tone, amixer -D pulse sset Master 50%+
i wish to pulse volume, amixer -D pulse sset Master 50%+
i wish to pulse speaker, amixer -D pulse sset Master 50%+
i wish to pulse sound, amixer -D pulse sset Master 50%+
i wish to pulse tone, amixer -D pulse sset Master 50%+
i demand to volumeup volume, amixer -D pulse sset Master 50%+
i demand to volumeup speaker, amixer -D pulse sset Master 50%+
i demand to volumeup sound, amixer -D pulse sset Master 50%+
i demand to volumeup tone, amixer -D pulse sset Master 50%+
i demand to volume up volume, amixer -D pulse sset Master 50%+
i demand to volume up speaker, amixer -D pulse sset Master 50%+
i demand to volume up sound, amixer -D pulse sset Master 50%+
i demand to volume up tone, amixer -D pulse sset Master 50%+
i demand to increase volume, amixer -D pulse sset Master 50%+
i demand to increase speaker, amixer -D pulse sset Master 50%+
i demand to increase sound, amixer -D pulse sset Master 50%+
i demand to increase tone, amixer -D pulse sset Master 50%+
i demand to boost volume, amixer -D pulse sset Master 50%+
i demand to boost speaker, amixer -D pulse sset Master 50%+
i demand to boost sound, amixer -D pulse sset Master 50%+
i demand to boost tone, amixer -D pulse sset Master 50%+
i demand to inflate volume, amixer -D pulse sset Master 50%+
i demand to inflate speaker, amixer -D pulse sset Master 50%+
i demand to inflate sound, amixer -D pulse sset Master 50%+
i demand to inflate tone, amixer -D pulse sset Master 50%+
i demand to escalate volume, amixer -D pulse sset Master 50%+
i demand to escalate speaker, amixer -D pulse sset Master 50%+
i demand to escalate sound, amixer -D pulse sset Master 50%+
i demand to escalate tone, amixer -D pulse sset Master 50%+
i demand to raise volume, amixer -D pulse sset Master 50%+
i demand to raise speaker, amixer -D pulse sset Master 50%+
i demand to raise sound, amixer -D pulse sset Master 50%+
i demand to raise tone, amixer -D pulse sset Master 50%+
i demand to rise volume, amixer -D pulse sset Master 50%+
i demand to rise speaker, amixer -D pulse sset Master 50%+
i demand to rise sound, amixer -D pulse sset Master 50%+
i demand to rise tone, amixer -D pulse sset Master 50%+
i demand to double volume, amixer -D pulse sset Master 50%+
i demand to double speaker, amixer -D pulse sset Master 50%+
i demand to double sound, amixer -D pulse sset Master 50%+
i demand to double tone, amixer -D pulse sset Master 50%+
i demand to maximize volume, amixer -D pulse sset Master 50%+
i demand to maximize speaker, amixer -D pulse sset Master 50%+
i demand to maximize sound, amixer -D pulse sset Master 50%+
i demand to maximize tone, amixer -D pulse sset Master 50%+
i demand to pulse volume, amixer -D pulse sset Master 50%+
i demand to pulse speaker, amixer -D pulse sset Master 50%+
i demand to pulse sound, amixer -D pulse sset Master 50%+
i demand to pulse tone, amixer -D pulse sset Master 50%+
i long to volumeup volume, amixer -D pulse sset Master 50%+
i long to volumeup speaker, amixer -D pulse sset Master 50%+
i long to volumeup sound, amixer -D pulse sset Master 50%+
i long to volumeup tone, amixer -D pulse sset Master 50%+
i long to volume up volume, amixer -D pulse sset Master 50%+
i long to volume up speaker, amixer -D pulse sset Master 50%+
i long to volume up sound, amixer -D pulse sset Master 50%+
i long to volume up tone, amixer -D pulse sset Master 50%+
i long to increase volume, amixer -D pulse sset Master 50%+
i long to increase speaker, amixer -D pulse sset Master 50%+
i long to increase sound, amixer -D pulse sset Master 50%+
i long to increase tone, amixer -D pulse sset Master 50%+
i long to boost volume, amixer -D pulse sset Master 50%+
i long to boost speaker, amixer -D pulse sset Master 50%+
i long to boost sound, amixer -D pulse sset Master 50%+
i long to boost tone, amixer -D pulse sset Master 50%+
i long to inflate volume, amixer -D pulse sset Master 50%+
i long to inflate speaker, amixer -D pulse sset Master 50%+
i long to inflate sound, amixer -D pulse sset Master 50%+
i long to inflate tone, amixer -D pulse sset Master 50%+
i long to escalate volume, amixer -D pulse sset Master 50%+
i long to escalate speaker, amixer -D pulse sset Master 50%+
i long to escalate sound, amixer -D pulse sset Master 50%+
i long to escalate tone, amixer -D pulse sset Master 50%+
i long to raise volume, amixer -D pulse sset Master 50%+
i long to raise speaker, amixer -D pulse sset Master 50%+
i long to raise sound, amixer -D pulse sset Master 50%+
i long to raise tone, amixer -D pulse sset Master 50%+
i long to rise volume, amixer -D pulse sset Master 50%+
i long to rise speaker, amixer -D pulse sset Master 50%+
i long to rise sound, amixer -D pulse sset Master 50%+
i long to rise tone, amixer -D pulse sset Master 50%+
i long to double volume, amixer -D pulse sset Master 50%+
i long to double speaker, amixer -D pulse sset Master 50%+
i long to double sound, amixer -D pulse sset Master 50%+
i long to double tone, amixer -D pulse sset Master 50%+
i long to maximize volume, amixer -D pulse sset Master 50%+
i long to maximize speaker, amixer -D pulse sset Master 50%+
i long to maximize sound, amixer -D pulse sset Master 50%+
i long to maximize tone, amixer -D pulse sset Master 50%+
i long to pulse volume, amixer -D pulse sset Master 50%+
i long to pulse speaker, amixer -D pulse sset Master 50%+
i long to pulse sound, amixer -D pulse sset Master 50%+
i long to pulse tone, amixer -D pulse sset Master 50%+
volumedown volume, amixer -D pulse sset Master 50%-
volumedown speaker, amixer -D pulse sset Master 50%-
volumedown sound, amixer -D pulse sset Master 50%-
volumedown tone, amixer -D pulse sset Master 50%-
volume down volume, amixer -D pulse sset Master 50%-
volume down speaker, amixer -D pulse sset Master 50%-
volume down sound, amixer -D pulse sset Master 50%-
volume down tone, amixer -D pulse sset Master 50%-
decrease volume, amixer -D pulse sset Master 50%-
decrease speaker, amixer -D pulse sset Master 50%-
decrease sound, amixer -D pulse sset Master 50%-
decrease tone, amixer -D pulse sset Master 50%-
down volume, amixer -D pulse sset Master 50%-
down speaker, amixer -D pulse sset Master 50%-
down sound, amixer -D pulse sset Master 50%-
down tone, amixer -D pulse sset Master 50%-
discount volume, amixer -D pulse sset Master 50%-
discount speaker, amixer -D pulse sset Master 50%-
discount sound, amixer -D pulse sset Master 50%-
discount tone, amixer -D pulse sset Master 50%-
drop volume, amixer -D pulse sset Master 50%-
drop speaker, amixer -D pulse sset Master 50%-
drop sound, amixer -D pulse sset Master 50%-
drop tone, amixer -D pulse sset Master 50%-
downgrade volume, amixer -D pulse sset Master 50%-
downgrade speaker, amixer -D pulse sset Master 50%-
downgrade sound, amixer -D pulse sset Master 50%-
downgrade tone, amixer -D pulse sset Master 50%-
i want to volumedown volume, amixer -D pulse sset Master 50%-
i want to volumedown speaker, amixer -D pulse sset Master 50%-
i want to volumedown sound, amixer -D pulse sset Master 50%-
i want to volumedown tone, amixer -D pulse sset Master 50%-
i want to volume down volume, amixer -D pulse sset Master 50%-
i want to volume down speaker, amixer -D pulse sset Master 50%-
i want to volume down sound, amixer -D pulse sset Master 50%-
i want to volume down tone, amixer -D pulse sset Master 50%-
i want to decrease volume, amixer -D pulse sset Master 50%-
i want to decrease speaker, amixer -D pulse sset Master 50%-
i want to decrease sound, amixer -D pulse sset Master 50%-
i want to decrease tone, amixer -D pulse sset Master 50%-
i want to down volume, amixer -D pulse sset Master 50%-
i want to down speaker, amixer -D pulse sset Master 50%-
i want to down sound, amixer -D pulse sset Master 50%-
i want to down tone, amixer -D pulse sset Master 50%-
i want to discount volume, amixer -D pulse sset Master 50%-
i want to discount speaker, amixer -D pulse sset Master 50%-
i want to discount sound, amixer -D pulse sset Master 50%-
i want to discount tone, amixer -D pulse sset Master 50%-
i want to drop volume, amixer -D pulse sset Master 50%-
i want to drop speaker, amixer -D pulse sset Master 50%-
i want to drop sound, amixer -D pulse sset Master 50%-
i want to drop tone, amixer -D pulse sset Master 50%-
i want to downgrade volume, amixer -D pulse sset Master 50%-
i want to downgrade speaker, amixer -D pulse sset Master 50%-
i want to downgrade sound, amixer -D pulse sset Master 50%-
i want to downgrade tone, amixer -D pulse sset Master 50%-
i need to volumedown volume, amixer -D pulse sset Master 50%-
i need to volumedown speaker, amixer -D pulse sset Master 50%-
i need to volumedown sound, amixer -D pulse sset Master 50%-
i need to volumedown tone, amixer -D pulse sset Master 50%-
i need to volume down volume, amixer -D pulse sset Master 50%-
i need to volume down speaker, amixer -D pulse sset Master 50%-
i need to volume down sound, amixer -D pulse sset Master 50%-
i need to volume down tone, amixer -D pulse sset Master 50%-
i need to decrease volume, amixer -D pulse sset Master 50%-
i need to decrease speaker, amixer -D pulse sset Master 50%-
i need to decrease sound, amixer -D pulse sset Master 50%-
i need to decrease tone, amixer -D pulse sset Master 50%-
i need to down volume, amixer -D pulse sset Master 50%-
i need to down speaker, amixer -D pulse sset Master 50%-
i need to down sound, amixer -D pulse sset Master 50%-
i need to down tone, amixer -D pulse sset Master 50%-
i need to discount volume, amixer -D pulse sset Master 50%-
i need to discount speaker, amixer -D pulse sset Master 50%-
i need to discount sound, amixer -D pulse sset Master 50%-
i need to discount tone, amixer -D pulse sset Master 50%-
i need to drop volume, amixer -D pulse sset Master 50%-
i need to drop speaker, amixer -D pulse sset Master 50%-
i need to drop sound, amixer -D pulse sset Master 50%-
i need to drop tone, amixer -D pulse sset Master 50%-
i need to downgrade volume, amixer -D pulse sset Master 50%-
i need to downgrade speaker, amixer -D pulse sset Master 50%-
i need to downgrade sound, amixer -D pulse sset Master 50%-
i need to downgrade tone, amixer -D pulse sset Master 50%-
i wish to volumedown volume, amixer -D pulse sset Master 50%-
i wish to volumedown speaker, amixer -D pulse sset Master 50%-
i wish to volumedown sound, amixer -D pulse sset Master 50%-
i wish to volumedown tone, amixer -D pulse sset Master 50%-
i wish to volume down volume, amixer -D pulse sset Master 50%-
i wish to volume down speaker, amixer -D pulse sset Master 50%-
i wish to volume down sound, amixer -D pulse sset Master 50%-
i wish to volume down tone, amixer -D pulse sset Master 50%-
i wish to decrease volume, amixer -D pulse sset Master 50%-
i wish to decrease speaker, amixer -D pulse sset Master 50%-
i wish to decrease sound, amixer -D pulse sset Master 50%-
i wish to decrease tone, amixer -D pulse sset Master 50%-
i wish to down volume, amixer -D pulse sset Master 50%-
i wish to down speaker, amixer -D pulse sset Master 50%-
i wish to down sound, amixer -D pulse sset Master 50%-
i wish to down tone, amixer -D pulse sset Master 50%-
i wish to discount volume, amixer -D pulse sset Master 50%-
i wish to discount speaker, amixer -D pulse sset Master 50%-
i wish to discount sound, amixer -D pulse sset Master 50%-
i wish to discount tone, amixer -D pulse sset Master 50%-
i wish to drop volume, amixer -D pulse sset Master 50%-
i wish to drop speaker, amixer -D pulse sset Master 50%-
i wish to drop sound, amixer -D pulse sset Master 50%-
i wish to drop tone, amixer -D pulse sset Master 50%-
i wish to downgrade volume, amixer -D pulse sset Master 50%-
i wish to downgrade speaker, amixer -D pulse sset Master 50%-
i wish to downgrade sound, amixer -D pulse sset Master 50%-
i wish to downgrade tone, amixer -D pulse sset Master 50%-
i demand to volumedown volume, amixer -D pulse sset Master 50%-
i demand to volumedown speaker, amixer -D pulse sset Master 50%-
i demand to volumedown sound, amixer -D pulse sset Master 50%-
i demand to volumedown tone, amixer -D pulse sset Master 50%-
i demand to volume down volume, amixer -D pulse sset Master 50%-
i demand to volume down speaker, amixer -D pulse sset Master 50%-
i demand to volume down sound, amixer -D pulse sset Master 50%-
i demand to volume down tone, amixer -D pulse sset Master 50%-
i demand to decrease volume, amixer -D pulse sset Master 50%-
i demand to decrease speaker, amixer -D pulse sset Master 50%-
i demand to decrease sound, amixer -D pulse sset Master 50%-
i demand to decrease tone, amixer -D pulse sset Master 50%-
i demand to down volume, amixer -D pulse sset Master 50%-
i demand to down speaker, amixer -D pulse sset Master 50%-
i demand to down sound, amixer -D pulse sset Master 50%-
i demand to down tone, amixer -D pulse sset Master 50%-
i demand to discount volume, amixer -D pulse sset Master 50%-
i demand to discount speaker, amixer -D pulse sset Master 50%-
i demand to discount sound, amixer -D pulse sset Master 50%-
i demand to discount tone, amixer -D pulse sset Master 50%-
i demand to drop volume, amixer -D pulse sset Master 50%-
i demand to drop speaker, amixer -D pulse sset Master 50%-
i demand to drop sound, amixer -D pulse sset Master 50%-
i demand to drop tone, amixer -D pulse sset Master 50%-
i demand to downgrade volume, amixer -D pulse sset Master 50%-
i demand to downgrade speaker, amixer -D pulse sset Master 50%-
i demand to downgrade sound, amixer -D pulse sset Master 50%-
i demand to downgrade tone, amixer -D pulse sset Master 50%-
i long to volumedown volume, amixer -D pulse sset Master 50%-
i long to volumedown speaker, amixer -D pulse sset Master 50%-
i long to volumedown sound, amixer -D pulse sset Master 50%-
i long to volumedown tone, amixer -D pulse sset Master 50%-
i long to volume down volume, amixer -D pulse sset Master 50%-
i long to volume down speaker, amixer -D pulse sset Master 50%-
i long to volume down sound, amixer -D pulse sset Master 50%-
i long to volume down tone, amixer -D pulse sset Master 50%-
i long to decrease volume, amixer -D pulse sset Master 50%-
i long to decrease speaker, amixer -D pulse sset Master 50%-
i long to decrease sound, amixer -D pulse sset Master 50%-
i long to decrease tone, amixer -D pulse sset Master 50%-
i long to down volume, amixer -D pulse sset Master 50%-
i long to down speaker, amixer -D pulse sset Master 50%-
i long to down sound, amixer -D pulse sset Master 50%-
i long to down tone, amixer -D pulse sset Master 50%-
i long to discount volume, amixer -D pulse sset Master 50%-
i long to discount speaker, amixer -D pulse sset Master 50%-
i long to discount sound, amixer -D pulse sset Master 50%-
i long to discount tone, amixer -D pulse sset Master 50%-
i long to drop volume, amixer -D pulse sset Master 50%-
i long to drop speaker, amixer -D pulse sset Master 50%-
i long to drop sound, amixer -D pulse sset Master 50%-
i long to drop tone, amixer -D pulse sset Master 50%-
i long to downgrade volume, amixer -D pulse sset Master 50%-
i long to downgrade speaker, amixer -D pulse sset Master 50%-
i long to downgrade sound, amixer -D pulse sset Master 50%-
i long to downgrade tone, amixer -D pulse sset Master 50%-
